schema_name,relation_name,column_name,required,evidence_types,source_files
public,supplier_catalog_feeds,create_missing_lookups,True,insert | update,netlify/functions/supplier-catalog-feed-sync.js | src/lib/inventoryApi.js | src/lib/supplierCatalogApi.js
public,supplier_catalog_feeds,created_at,True,order,netlify/functions/supplier-catalog-feed-sync.js | src/lib/inventoryApi.js | src/lib/supplierCatalogApi.js
public,supplier_catalog_feeds,feed_name,True,insert | update,netlify/functions/supplier-catalog-feed-sync.js | src/lib/inventoryApi.js | src/lib/supplierCatalogApi.js
public,supplier_catalog_feeds,feed_url,True,insert | update,netlify/functions/supplier-catalog-feed-sync.js | src/lib/inventoryApi.js | src/lib/supplierCatalogApi.js
public,supplier_catalog_feeds,id,True,filter,netlify/functions/supplier-catalog-feed-sync.js | src/lib/inventoryApi.js | src/lib/supplierCatalogApi.js
public,supplier_catalog_feeds,is_active,True,insert | update,netlify/functions/supplier-catalog-feed-sync.js | src/lib/inventoryApi.js | src/lib/supplierCatalogApi.js
public,supplier_catalog_feeds,source_file_name,True,insert | update,netlify/functions/supplier-catalog-feed-sync.js | src/lib/inventoryApi.js | src/lib/supplierCatalogApi.js
public,supplier_catalog_feeds,supplier_name,True,insert | update,netlify/functions/supplier-catalog-feed-sync.js | src/lib/inventoryApi.js | src/lib/supplierCatalogApi.js
public,supplier_catalog_feeds,update_blank_products,True,insert | update,netlify/functions/supplier-catalog-feed-sync.js | src/lib/inventoryApi.js | src/lib/supplierCatalogApi.js
public,supplier_catalog_feeds,updated_at,True,update,netlify/functions/supplier-catalog-feed-sync.js | src/lib/inventoryApi.js | src/lib/supplierCatalogApi.js
public,supplier_catalog_quote_reference,supplier_name,True,order,src/lib/inventoryApi.js
public,supplier_catalog_review,brand,True,order,src/lib/inventoryApi.js | src/lib/supplierCatalogApi.js
public,supplier_catalog_review,created_at,True,order,src/lib/inventoryApi.js | src/lib/supplierCatalogApi.js
public,supplier_catalog_review,style,True,order,src/lib/inventoryApi.js | src/lib/supplierCatalogApi.js
public,supplier_catalog_review,supplier_name,True,order,src/lib/inventoryApi.js | src/lib/supplierCatalogApi.js
public,warehouse_inventory_audit_report,bin_code,True,order,src/lib/inventoryApi.js
public,warehouse_inventory_audit_report,bin_sort,True,order,src/lib/inventoryApi.js
public,warehouse_inventory_audit_report,brand,True,order,src/lib/inventoryApi.js
public,warehouse_inventory_audit_report,color,True,order,src/lib/inventoryApi.js
public,warehouse_inventory_audit_report,size,True,order,src/lib/inventoryApi.js
public,warehouse_inventory_audit_report,style,True,order,src/lib/inventoryApi.js
public,woo_blank_match_diagnostics,match_diagnostic,True,select,src/lib/inventoryApi.js
public,woo_sync_queue,action,True,insert,src/lib/inventoryApi.js
public,woo_sync_queue,created_at,True,order,src/lib/inventoryApi.js
public,woo_sync_queue,entity_id,True,insert,src/lib/inventoryApi.js
public,woo_sync_queue,entity_type,True,insert,src/lib/inventoryApi.js
public,woo_sync_queue,payload,True,insert,src/lib/inventoryApi.js
public,woo_sync_queue,status,True,insert,src/lib/inventoryApi.js
